battery_mAh,weight_g,width_mm,height_mm,thickness_mm,screen_inches,pixel_density,rear_mp,cpu_speed_GHz,cpu_cores,internal_storage,ram,refresh_Hz,charging_watts,expandable_GB,sim_count,brand,cluster,pca1,pca2,spec_tier
7000.0,208.0,77.2,162.8,7.3,6.8,453.0,50.0,3.21,6.0,512.0,12.0,120.0,80.0,0.0,2.0,Oppo,0,4.043659989241915,-1.415772230002608,Flagship
7000.0,207.0,77.2,162.8,7.3,6.8,453.0,50.0,3.25,6.0,512.0,12.0,120.0,80.0,0.0,2.0,Oppo,0,4.051736334906141,-1.4319004900524988,Flagship
6000.0,187.0,75.2,161.1,8.4,6.67,392.0,50.0,2.2,6.0,128.0,8.0,120.0,44.0,0.0,2.0,Vivo,2,1.296237663234127,0.037044157239037576,Midrange
5160.0,155.0,75.8,164.0,6.0,6.78,440.0,50.0,2.2,6.0,256.0,8.0,144.0,45.0,0.0,2.0,Infinix,0,1.5238659605122484,-0.5407272197113722,Flagship
6000.0,201.0,76.6,167.2,7.9,6.74,260.0,50.0,1.8,6.0,128.0,4.0,90.0,15.0,0.0,2.0,Realme,2,0.28310564758945916,1.56395387298495,Midrange
5500.0,178.0,73.3,161.9,7.9,6.67,395.0,50.0,2.4,6.0,256.0,8.0,144.0,30.0,0.0,2.0,Motorola,2,1.4925237312954398,-0.29304110714717047,Midrange
5000.0,197.0,77.9,164.4,7.7,6.7,385.0,50.0,2.4,6.0,128.0,6.0,120.0,25.0,0.0,2.0,Samsung,2,0.9905633414242151,0.5499810566407939,Midrange
7000.0,208.0,77.2,162.8,7.3,6.8,453.0,50.0,3.21,6.0,256.0,12.0,120.0,80.0,0.0,2.0,Oppo,0,3.3786903538138042,-0.9501809855069687,Flagship
7000.0,207.0,77.2,162.8,7.3,6.8,453.0,50.0,3.25,6.0,256.0,12.0,120.0,80.0,0.0,2.0,Oppo,0,3.386766699478052,-0.9663092455568507,Flagship
5000.0,197.0,77.9,164.4,7.7,6.7,385.0,50.0,2.4,6.0,128.0,6.0,120.0,25.0,0.0,2.0,Samsung,2,0.9905633414242151,0.5499810566407939,Midrange
5500.0,178.0,73.3,161.9,7.9,6.67,395.0,50.0,2.4,6.0,128.0,8.0,144.0,30.0,0.0,2.0,Motorola,2,1.1600389135813889,-0.06024548489934635,Midrange
4500.0,166.0,71.5,158.3,7.0,6.55,402.0,64.0,2.5,6.0,256.0,8.0,120.0,55.0,0.0,2.0,Xiaomi,0,1.42549403904169,-0.9475601029786836,Flagship
5000.0,186.4,75.02,163.19,8.55,6.6,392.0,52.0,1.8,6.0,128.0,4.0,90.0,20.0,256.0,2.0,Proton,2,0.28759198040680656,1.0249494169098108,Midrange
6000.0,187.0,75.2,161.1,8.4,6.67,392.0,13.0,2.0,6.0,128.0,4.0,120.0,18.0,0.0,2.0,Tecno,2,0.2719910085124931,0.8065105348035474,Midrange
4400.0,215.0,72.8,158.4,8.9,8.0,368.0,200.0,4.47,6.0,128.0,12.0,120.0,25.0,0.0,2.0,Samsung,0,4.0349496155465125,-0.37932338000611804,Flagship
4400.0,215.0,72.8,158.4,8.9,8.0,368.0,200.0,4.47,6.0,512.0,12.0,120.0,25.0,0.0,2.0,Samsung,0,5.032404068688663,-1.0777102467495903,Flagship
5000.0,181.0,164.0,75.7,8.5,6.52,392.0,8.0,1.6,6.0,64.0,2.0,90.0,30.0,0.0,2.0,ZTE,1,-1.3718933523249925,0.8888341871380394,Budget
5700.0,184.0,76.7,163.3,7.4,6.77,387.0,50.0,2.6,6.0,128.0,8.0,120.0,44.0,0.0,2.0,iQOO,2,1.4458690839421955,0.03461969059505502,Midrange
7000.0,187.0,76.2,162.3,7.69,6.8,453.0,50.0,2.8,6.0,128.0,8.0,144.0,80.0,0.0,2.0,Realme,0,2.4084298984320895,-0.5847108718517608,Flagship
7000.0,187.0,76.2,162.3,7.66,6.8,453.0,50.0,2.6,6.0,128.0,8.0,144.0,80.0,0.0,2.0,Realme,0,2.3242025823386783,-0.5362090567542533,Flagship
6500.0,215.7,77.9,163.1,8.2,6.83,447.0,50.0,3.21,6.0,512.0,12.0,120.0,90.0,0.0,2.0,Xiaomi,0,4.125711364763461,-1.529335435072946,Flagship
5850.0,185.0,71.7,150.8,8.2,6.32,460.0,50.0,4.32,6.0,512.0,12.0,120.0,80.0,0.0,2.0,OnePlus,0,3.6612393359047792,-2.610284912688817,Flagship
6800.0,211.0,77.0,163.4,8.1,6.83,450.0,50.0,3.0,6.0,512.0,12.0,144.0,80.0,0.0,2.0,OnePlus,0,4.03981200900346,-1.4793498698046483,Flagship
5200.0,160.4,75.8,163.9,6.5,6.78,440.0,50.0,2.2,6.0,256.0,8.0,144.0,45.0,0.0,2.0,Tecno,0,1.572573701327136,-0.5151513514726692,Flagship
5200.0,187.0,75.9,163.7,6.7,6.78,440.0,50.0,2.2,6.0,128.0,8.0,144.0,45.0,0.0,2.0,Tecno,2,1.4702225776453586,-0.11477295762108226,Midrange
5200.0,179.0,74.32,164.44,7.31,6.78,393.0,50.0,2.5,6.0,256.0,8.0,144.0,45.0,0.0,2.0,Tecno,0,1.7124431666502569,-0.41687710991303645,Flagship
6000.0,217.0,72.6,159.7,9.2,8.03,413.0,50.0,3.3,6.0,256.0,12.0,120.0,80.0,0.0,2.0,Vivo,0,3.5170441362559277,-0.8539400946803354,Flagship
6000.0,180.0,75.0,158.1,7.7,6.57,397.0,50.0,2.2,6.0,256.0,8.0,120.0,45.0,0.0,2.0,Oppo,0,1.4870800238721158,-0.36368123221010334,Flagship
5000.0,187.0,77.0,165.6,8.3,6.67,263.0,13.0,1.8,6.0,64.0,3.0,120.0,15.0,0.0,2.0,Tecno,2,-0.5703983627327116,1.3593070608649798,Midrange
6800.0,212.0,76.6,163.8,8.2,6.82,510.0,50.0,4.32,6.0,512.0,16.0,144.0,120.0,0.0,2.0,iQOO,0,5.488912556160187,-2.7681758287101883,Flagship
6800.0,212.0,76.6,163.8,8.2,6.82,510.0,50.0,4.32,6.0,512.0,12.0,144.0,120.0,0.0,2.0,iQOO,0,5.136956259512231,-2.459663494187596,Flagship
5200.0,189.0,75.8,163.7,8.0,6.78,440.0,108.0,3.35,6.0,256.0,12.0,144.0,45.0,0.0,2.0,Infinix,0,3.176972399383424,-0.9759420974168554,Flagship
5700.0,233.5,76.1,163.0,8.3,6.8,459.0,50.0,2.5,6.0,128.0,16.0,1440.0,100.0,0.0,2.0,Huawei,0,7.988141469668042,-7.232047551443584,Flagship
5000.0,197.0,74.0,162.0,8.2,6.5,396.0,48.0,4.32,6.0,512.0,12.0,120.0,30.0,0.0,2.0,Sony,0,3.225743356066211,-1.4037279126161395,Flagship
5000.0,192.0,77.3,165.9,7.9,6.6,262.0,13.0,2.2,6.0,128.0,4.0,120.0,18.0,1024.0,2.0,Itel,2,-0.017205445461789624,1.8802660515460632,Midrange
5160.0,155.0,75.8,164.0,6.0,6.78,440.0,50.0,2.2,6.0,128.0,8.0,144.0,45.0,0.0,2.0,Infinix,2,1.1913811427981975,-0.3079315974635481,Midrange
5160.0,170.0,75.9,163.5,6.6,6.78,440.0,50.0,2.2,6.0,128.0,8.0,144.0,45.0,0.0,2.0,Infinix,2,1.3111531019469533,-0.23004763021161279,Midrange
7200.0,205.0,76.1,162.4,8.6,6.8,453.0,50.0,3.4,6.0,512.0,16.0,120.0,100.0,0.0,2.0,Realme,0,4.648047483963638,-2.0895438455713307,Flagship
7200.0,205.0,76.1,162.4,8.6,6.8,453.0,50.0,3.4,6.0,512.0,12.0,120.0,100.0,0.0,2.0,Realme,0,4.296091187315682,-1.7810315110487376,Flagship
6000.0,187.0,75.2,160.0,8.9,6.67,460.0,108.0,3.35,6.0,256.0,8.0,144.0,70.0,0.0,2.0,Tecno,0,3.122365524372077,-1.1309693798757208,Flagship
5160.0,188.0,76.6,166.0,7.7,6.7,262.0,50.0,1.8,6.0,256.0,8.0,120.0,45.0,1024.0,2.0,Infinix,2,1.1103443608444807,1.0441224412115706,Midrange
5000.0,187.0,75.2,161.1,8.55,6.6,267.0,13.0,1.8,6.0,128.0,4.0,90.0,15.0,0.0,2.0,Itel,2,-0.5460088785689112,1.1050537083008138,Midrange
7000.0,187.0,76.6,168.6,9.3,6.78,396.0,108.0,2.2,6.0,128.0,8.0,120.0,45.0,0.0,2.0,Tecno,0,2.205061397082812,0.37611122821678433,Flagship
7200.0,203.0,76.0,162.4,8.3,6.8,453.0,50.0,3.73,6.0,512.0,12.0,144.0,100.0,0.0,2.0,Realme,0,4.504777938341821,-1.9810043183738675,Flagship
5000.0,196.0,78.1,168.8,8.3,6.75,260.0,50.0,2.5,6.0,64.0,4.0,120.0,15.0,0.0,2.0,Lava,2,0.31060661769496395,1.277865163952165,Midrange
7410.0,219.0,77.9,163.1,8.2,6.83,447.0,50.0,3.63,6.0,128.0,24.0,144.0,100.0,0.0,2.0,Xiaomi,0,4.739588544013615,-1.9700126280372476,Flagship
5000.0,187.0,77.0,165.6,8.3,6.67,263.0,13.0,1.8,6.0,64.0,4.0,120.0,15.0,0.0,2.0,Tecno,2,-0.48240928857072246,1.2821789772343317,Midrange
5000.0,190.0,78.0,168.3,8.1,6.75,260.0,13.0,1.6,6.0,64.0,4.0,90.0,10.0,0.0,2.0,Umidigi,2,-0.6135344740949678,1.6750141885608607,Midrange
5000.0,180.0,77.3,162.0,7.2,6.74,382.0,50.0,2.75,6.0,256.0,8.0,120.0,45.0,0.0,2.0,Samsung,0,1.6329376422804733,-0.3709013526210104,Flagship
